"Makarichev, Sergey"
"Malakhatko, Vadim"
"Malakhov, Vladimir"
"Malaniuk, Vladimir P."
"Malich, Burkhard"
"Malisauskas, Vidmantas"
"Mamedov, Rauf"
"Mamedyarov, Shakhriyar"
"Mareco, Sandro"
"Maric, Rudolf"
"Marin, Mihail"
"Mariotti, Sergio"
"Marjanovic, Slavoljub"
"Markland, Peter R."
"Markovic, Miroslav"
"Markowski, Tomasz"
"Markus, Robert"
"Martirosyan, Haik M."
"Matanovic, Aleksandar"
"Matlakov, Maxim"
"Matulovic, Milan"
"McShane, Luke J."
"Mchedlishvili, Mikheil"
"Mecking, Henrique"
"Mednis, Edmar J."
"Meduna, Eduard"
"Meier, Georg"
"Melkumyan, Hrant"
"Mestel, A. Jonathan"
"Mikhalchishin, Adrian"
"Mikhalevski, Victor"
"Miladinovic, Igor"
"Miles, Anthony J."
"Milos, Gilberto"
"Milov, Vadim"
"Minasian, Artashes"
"Minev, Nikolay N."
"Minic, Dragoljub"
"Miroshnichenko, Evgenij"
"Miton, Kamil"
"Mohr, Stefan"
"Moiseenko, Alexander"
"Mokry, Karel"
"Morovic Fernandez, Ivan"
"Morozevich, Alexander"
"Motylev, Alexander"
"Movsesian, Sergei"
"Mozetic, Dejan"
"Mukhin, Mikhail A."
"Murrey, Jacob"
"Nabaty, Tamir"
"Naiditsch, Arkadij"
"Najdorf, Miguel"
"Najdoski, Toni"
"Najer, Evgeniy"
"Nakamura, Hikaru"
"Navara, David"
"Nay, Oo Kyaw Tun"
"Negi, Parimarjan"
"Nei, Iivo"
"Nenashev, Alexander"
"Nepomniachtchi, Ian"
"Neverov, Valeriy"
"Ney, Iivo"
"Nguyen, Ngoc Truong Son"
"Ni, Hua"
"Nielsen, Peter Heine"
"Nijboer, Friso"
"Nikolaevsky, Yuri V."
"Nikolaidis, Ioannis"
"Nikolic, Predrag"
"Nisipeanu, Liviu-Dieter"
"Nogueiras, Jesus"
"Novikov, Igor A."
"Nunn, John D. M."
"Nyback, Tomi"
"Nyzhnyk, Illya"
"O'Kelly De Galway, Alberic"
"Ogaard, Leif"
"Olafsson, Fridrik"
"Olafsson, Helgi"
"Oll, Lembit"
"Onischuk, Alexander"
"Onischuk, Vladimir"
"Oparin, Grigoriy"
"Osnos, Viatcheslav"
"Ostojic, Predrag"
"Ozsvath, Andras"
"Pachman, Ludek"
"Padevsky, Nikola"
"Palac, Mladen"
"Palatnik, Semon"
"Panchenko, Alexander N."
"Panno, Oscar"
"Pantsulaia, Levan"
"Papaioannou, Ioannis"
"Paragua, Mark"
"Paravyan, David"
"Parligras, Mircea-Emilian"
"Parma, Bruno"
"Pashikian, Arman"
"Pavasovic, Dusko"
"Pelletier, Yannick"
"Peng, Xiaomin"
"Penrose, Jonathan"
"Peters, John A."
"Petrosian, Arshak B."
"Petrosian, Tigran"
"Petrosian, Tigran L."
"Petursson, Margeir"
"Pfleger, Helmut"
"Pietzsch, Wolfgang"
"Pigusov, Evgeny"
"Piket, Jeroen"
"Pilnik, Herman"
"Pinter, Jozsef"
"Piorun, Kacper"
"Planinc, Albin"
"Platonov, Igor V."
"Podgaets, Mikhail"
"Polgar, Judit"
"Polugaevsky, Lev"
"Pomar Salamanca, Arturo"
"Ponomariov, Ruslan"
"Popov, Ivan"
"Popovic, Petar"
"Portisch, Lajos"
"Postny, Evgeny"
"Potkin, Vladimir"
"Predke, Alexandr"
"Predojevic, Borki"
"Psakhis, Lev"
"Quesada Perez, Yuniesky"
"Quinteros, Miguel A."
"Radjabov, Teimour"
"Radulov, Ivan"
"Ragger, Markus"
"Rajkovic, Dusan"
"Rajna, Gyorgy"
"Rakhmanov, Aleksandr"
"Rapport, Richard"
"Rashkovsky, Nukhim N."
"Rausis, Igors"
"Razuvaev, Yuri S."
"Ree, Hans"
"Reshevsky, Samuel H."
"Riazantsev, Alexander"
"Ribli, Zoltan"
"Ricardi, Pablo"
"Rivas Pastor, Manuel"
"Robatsch, Karl"
"Robson, Ray"
"Rodriguez, Amador"
"Rodshtein, Maxim"
"Rogers, Ian"
"Rogoff, Kenneth S."
"Rohde, Michael A."
"Roiz, Michael"
"Romanishin, Oleg M."
"Romanov, Evgeny"
"Rosentalis, Eduard"
"Rossetto, Hector"
"Rossolimo, Nicolas"
